Year,Area of Residence,VALUE,CountyName,BirthRate
2012,Donegal,12.8,Donegal,12.8
2012,Monaghan,13.7,Monaghan,13.7
2013,Carlow,15.8,Carlow,15.8
2013,Kildare,16.1,Kildare,16.1
2013,Kilkenny,13.8,Kilkenny,13.8
2013,Laois,14.8,Laois,14.8
2013,Longford,15.3,Longford,15.3
2013,Louth,15.9,Louth,15.9
2013,Meath,16.9,Meath,16.9
2013,Offaly,13.7,Offaly,13.7
2013,Westmeath,15.2,Westmeath,15.2
2013,Wexford,13.9,Wexford,13.9
2013,Wicklow,14.9,Wicklow,14.9
2013,Clare,12.8,Clare,12.8
2013,Cork City,12.6,Cork,12.6
2013,Cork County,15.5,Cork,15.5
2013,Kerry,12.2,Kerry,12.2
2013,Limerick City,15.0,Limerick,15.0
2013,Limerick County,14.3,Limerick,14.3
2013,North Tipperary,14.8,Tipperary,14.8
2013,South Tipperary,13.5,Tipperary,13.5
2013,Waterford City,17.0,Waterford,17.0
2013,Waterford County,13.6,Waterford,13.6
2013,Galway City,16.4,Galway,16.4
2013,Galway County,14.8,Galway,14.8
2013,Leitrim,14.4,Leitrim,14.4
2013,Mayo,13.1,Mayo,13.1
2013,Roscommon,13.2,Roscommon,13.2
2013,Sligo,13.8,Sligo,13.8
2013,Cavan,15.5,Cavan,15.5
2013,Donegal,12.3,Donegal,12.3
2013,Monaghan,14.2,Monaghan,14.2
2014,Carlow,16.8,Carlow,16.8
2014,Kildare,15.9,Kildare,15.9
2014,Kilkenny,13.6,Kilkenny,13.6
2014,Laois,14.3,Laois,14.3
2014,Longford,14.1,Longford,14.1
2014,Louth,15.1,Louth,15.1
2014,Meath,15.7,Meath,15.7
2014,Offaly,14.5,Offaly,14.5
2014,Westmeath,15.4,Westmeath,15.4
2014,Wexford,14.2,Wexford,14.2
2014,Wicklow,14.4,Wicklow,14.4
2014,Clare,12.5,Clare,12.5
2014,Cork City,12.9,Cork,12.9
2014,Cork County,14.7,Cork,14.7
2014,Kerry,11.8,Kerry,11.8
2014,Limerick City,15.6,Limerick,15.6
2014,Limerick County,13.8,Limerick,13.8
2014,North Tipperary,13.4,Tipperary,13.4
2014,South Tipperary,12.8,Tipperary,12.8
2014,Waterford City,16.4,Waterford,16.4
2014,Waterford County,12.5,Waterford,12.5
2014,Galway City,15.8,Galway,15.8
2014,Galway County,14.4,Galway,14.4
2014,Leitrim,12.7,Leitrim,12.7
2014,Mayo,12.8,Mayo,12.8
2014,Roscommon,12.6,Roscommon,12.6
2014,Sligo,12.9,Sligo,12.9
2014,Cavan,14.7,Cavan,14.7
2014,Donegal,11.7,Donegal,11.7
2014,Monaghan,13.7,Monaghan,13.7
2015,Carlow,14.5,Carlow,14.5
2015,Kildare,15.3,Kildare,15.3
2015,Kilkenny,12.7,Kilkenny,12.7
2015,Laois,14.2,Laois,14.2
2015,Longford,14.4,Longford,14.4
2015,Louth,14.7,Louth,14.7
2015,Meath,14.5,Meath,14.5
2015,Offaly,12.7,Offaly,12.7
2015,Westmeath,14.1,Westmeath,14.1
2015,Wexford,13.5,Wexford,13.5
2015,Wicklow,14.1,Wicklow,14.1
2015,Clare,13.0,Clare,13.0
2015,Cork City,12.8,Cork,12.8
2015,Cork County,14.5,Cork,14.5
2015,Kerry,11.5,Kerry,11.5
2015,Limerick City,14.4,Limerick,14.4
2015,Limerick County,14.1,Limerick,14.1
2015,North Tipperary,14.2,Tipperary,14.2
2015,South Tipperary,12.4,Tipperary,12.4
2015,Waterford City,14.1,Waterford,14.1
2015,Waterford County,13.0,Waterford,13.0
2015,Galway City,14.7,Galway,14.7
2015,Galway County,13.9,Galway,13.9
2015,Leitrim,13.0,Leitrim,13.0
2015,Mayo,12.1,Mayo,12.1
2015,Roscommon,11.9,Roscommon,11.9
2015,Sligo,12.3,Sligo,12.3
2015,Cavan,14.2,Cavan,14.2
2015,Donegal,11.9,Donegal,11.9
2015,Monaghan,13.3,Monaghan,13.3
2016,Carlow,13.3,Carlow,13.3
2016,Kildare,14.7,Kildare,14.7
2016,Kilkenny,12.1,Kilkenny,12.1
2016,Laois,13.3,Laois,13.3
2016,Longford,14.9,Longford,14.9
2016,Louth,13.9,Louth,13.9
2016,Meath,14.1,Meath,14.1
2016,Offaly,12.7,Offaly,12.7
2016,Westmeath,14.1,Westmeath,14.1
2016,Wexford,12.6,Wexford,12.6
2016,Wicklow,13.4,Wicklow,13.4
2016,Clare,12.4,Clare,12.4
2016,Cork City,11.8,Cork,11.8
2016,Cork County,13.4,Cork,13.4
2016,Kerry,11.7,Kerry,11.7
2016,Limerick City,14.7,Limerick,14.7
2016,Limerick County,13.0,Limerick,13.0
2016,North Tipperary,12.7,Tipperary,12.7
2016,South Tipperary,13.0,Tipperary,13.0
2016,Waterford City,11.6,Waterford,11.6
2016,Waterford County,13.6,Waterford,13.6
2016,Galway City,14.8,Galway,14.8
2016,Galway County,13.6,Galway,13.6
2016,Leitrim,13.0,Leitrim,13.0
2016,Mayo,11.9,Mayo,11.9
2016,Roscommon,11.7,Roscommon,11.7
2016,Sligo,12.0,Sligo,12.0
2016,Cavan,14.1,Cavan,14.1
2016,Donegal,11.9,Donegal,11.9
2016,Monaghan,13.1,Monaghan,13.1
2017,Carlow,13.4,Carlow,13.4
2017,Kildare,14.0,Kildare,14.0
2017,Kilkenny,11.7,Kilkenny,11.7
2017,Laois,13.9,Laois,13.9
2017,Longford,13.1,Longford,13.1
2017,Louth,13.3,Louth,13.3
2017,Meath,13.6,Meath,13.6
2017,Offaly,12.7,Offaly,12.7
2017,Westmeath,14.2,Westmeath,14.2
2017,Wexford,12.6,Wexford,12.6
2017,Wicklow,12.8,Wicklow,12.8
2017,Clare,11.9,Clare,11.9
2017,Cork City,11.1,Cork,11.1
2017,Cork County,13.0,Cork,13.0
2017,Kerry,11.2,Kerry,11.2
2017,Limerick City,13.5,Limerick,13.5
2017,Limerick County,13.0,Limerick,13.0
2017,North Tipperary,12.7,Tipperary,12.7
2017,South Tipperary,12.2,Tipperary,12.2
2017,Waterford City,11.8,Waterford,11.8
2017,Waterford County,12.2,Waterford,12.2
2017,Galway City,12.1,Galway,12.1
2017,Galway County,13.4,Galway,13.4
2017,Leitrim,12.3,Leitrim,12.3
2017,Mayo,11.4,Mayo,11.4
2017,Roscommon,11.7,Roscommon,11.7
2017,Sligo,11.3,Sligo,11.3
2017,Cavan,13.7,Cavan,13.7
2017,Donegal,11.4,Donegal,11.4
2017,Monaghan,12.4,Monaghan,12.4
2018,Carlow,14.3,Carlow,14.3
2018,Kildare,13.3,Kildare,13.3
2018,Kilkenny,11.1,Kilkenny,11.1
2018,Laois,12.1,Laois,12.1
2018,Longford,13.2,Longford,13.2
2018,Louth,12.9,Louth,12.9
2018,Meath,13.0,Meath,13.0
2018,Offaly,11.8,Offaly,11.8
2018,Westmeath,13.4,Westmeath,13.4
2018,Wexford,11.8,Wexford,11.8
2018,Wicklow,11.5,Wicklow,11.5
2018,Clare,11.4,Clare,11.4
2018,Cork City,10.8,Cork,10.8
2018,Cork County,12.9,Cork,12.9
2018,Kerry,11.0,Kerry,11.0
2018,Limerick City,13.6,Limerick,13.6
2018,Limerick County,12.5,Limerick,12.5
2018,Tipperary,12.7,Tipperary,12.7
2018,Waterford City,13.2,Waterford,13.2
2018,Waterford County,11.4,Waterford,11.4
2018,Galway City,12.5,Galway,12.5
2018,Galway County,12.7,Galway,12.7
2018,Leitrim,12.7,Leitrim,12.7
2018,Mayo,11.0,Mayo,11.0
2018,Roscommon,10.8,Roscommon,10.8
2018,Sligo,12.0,Sligo,12.0
2018,Cavan,13.2,Cavan,13.2
2018,Donegal,11.6,Donegal,11.6
2018,Monaghan,13.1,Monaghan,13.1
2019,Carlow,12.7,Carlow,12.7
2019,Kildare,12.9,Kildare,12.9
2019,Kilkenny,10.7,Kilkenny,10.7
2019,Laois,12.5,Laois,12.5
2019,Longford,13.7,Longford,13.7
2019,Louth,12.4,Louth,12.4
2019,Meath,13.2,Meath,13.2
2019,Offaly,11.4,Offaly,11.4
2019,Westmeath,12.4,Westmeath,12.4
2019,Wexford,11.6,Wexford,11.6
2019,Wicklow,11.7,Wicklow,11.7
2019,Clare,10.9,Clare,10.9
2019,Cork City,10.5,Cork,10.5
2019,Cork County,12.1,Cork,12.1
2019,Kerry,10.3,Kerry,10.3
2019,Limerick City,13.7,Limerick,13.7
2019,Limerick County,11.3,Limerick,11.3
2019,Tipperary,11.2,Tipperary,11.2
2019,Waterford City,12.9,Waterford,12.9
2019,Waterford County,10.1,Waterford,10.1
2019,Galway City,11.4,Galway,11.4
2019,Galway County,12.6,Galway,12.6
2019,Leitrim,12.9,Leitrim,12.9
2019,Mayo,11.1,Mayo,11.1
2019,Roscommon,12.3,Roscommon,12.3
2019,Sligo,11.2,Sligo,11.2
2019,Cavan,12.4,Cavan,12.4
2019,Donegal,11.0,Donegal,11.0
2019,Monaghan,11.7,Monaghan,11.7
2020,Carlow,12.6,Carlow,12.6
2020,Kildare,12.7,Kildare,12.7
2020,Kilkenny,9.8,Kilkenny,9.8
2020,Laois,10.7,Laois,10.7
2020,Longford,12.5,Longford,12.5
2020,Louth,11.7,Louth,11.7
2020,Meath,11.9,Meath,11.9
2020,Offaly,11.1,Offaly,11.1
2020,Westmeath,12.8,Westmeath,12.8
2020,Wexford,10.9,Wexford,10.9
2020,Wicklow,10.9,Wicklow,10.9
2020,Clare,10.6,Clare,10.6
2020,Cork City,9.9,Cork,9.9
2020,Cork County,11.8,Cork,11.8
2020,Kerry,9.8,Kerry,9.8
2020,Limerick City,12.1,Limerick,12.1
2020,Limerick County,11.8,Limerick,11.8
2020,Tipperary,10.8,Tipperary,10.8
2020,Waterford City,12.5,Waterford,12.5
2020,Waterford County,10.3,Waterford,10.3
2020,Galway City,10.4,Galway,10.4
2020,Galway County,11.4,Galway,11.4
2020,Leitrim,11.5,Leitrim,11.5
2020,Mayo,10.1,Mayo,10.1
2020,Roscommon,10.6,Roscommon,10.6
